author_id,username,author_followers,author_tweets,author_description,author_location,text,created_at,retweets,replies,likes,quote_count
967578631,MareenOZ,757,15020,,Jeddah,"مبادرة التطوع لوضع بصمة لممشى الواجهة البحرية في مدينة جدة 🏝 
صدقوني شعور جميل وتجربة احلى انكم تشاركو وتحطو بصمة جمالية في مكان انتو تحبوه 😍♥️ 

 #ممشى_الالوان #جدة #الواجهه_البحرية #تطوع #jeddahcolorwalk #jeddah https://t.co/Qs3LAL6BRd",2021-06-24 11:44:32+00:00,0,0,1,0
1077908667494748160,Dr3119,67,967,"Just Weird | ID | Mom of 7 Fluff Balls | 
#Live_to_Inspire",Somewhere Along this Universe,"Another amazing day 💜
#jeddah_colorwalk #jeddahcolorwalk #ممشى_الألوان #الواجهة_البحرية #color_walk https://t.co/qi5XSFGHVH",2021-04-02 18:26:46+00:00,1,0,10,0
